ts_utc,name,tier,source
2017-01-06T13:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2017-01-13T13:30:00+00:00,PPI,medium,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2017-01-18T13:30:00+00:00,CPI,high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2017-02-03T13:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2017-02-14T13:30:00+00:00,PPI,medium,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2017-02-15T13:30:00+00:00,CPI,high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2017-03-10T13:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2017-03-14T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2017-03-15T12:30:00+00:00,CPI,high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2017-04-07T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2017-04-13T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2017-04-14T12:30:00+00:00,CPI,high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2017-05-05T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2017-05-11T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2017-05-12T12:30:00+00:00,CPI,high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2017-06-02T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2017-06-13T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2017-06-14T12:30:00+00:00,CPI,high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2017-07-07T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2017-07-13T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2017-07-14T12:30:00+00:00,CPI,high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2017-08-04T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2017-08-10T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2017-08-11T12:30:00+00:00,CPI,high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2017-09-01T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/empsit.htm
2017-09-13T12:30:00+00:00,PPI,medium,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/ppi.htm
2017-09-14T12:30:00+00:00,CPI,high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/cpi.htm
2017-10-06T12:30:00+00:00,Employment Situation (NFP),high,https://web.archive.org/web/20170601id_/https://www.bls.gov/schedule/news_release/empsit.htm
